id,lat,long,alt
1,34.40809165,31.40843443,48.24743107
2,34.41877062,31.40970035,43.28485245
3,34.41877062,31.40970035,43.28485245
4,34.42390324,31.41381546,22.31969534
5,34.51288399,31.37679239,-102.0122317
6,34.45345552,31.394152,-8.146876983
7,34.36254665,31.42269858,86.022818
8,34.36254665,31.42269858,86.022818
9,34.36254665,31.42269858,86.022818
10,34.41885075,31.41270463,40.37858551
11,34.42977618,31.25015131,186.921061
12,34.41530252,31.41767683,35.27372062
13,34.43439915,31.42684073,-14.78049339
14,34.42255146,31.41367275,28.54497112
15,34.42968241,31.41080633,34.21838727
16,34.40800563,31.41048677,52.87289142
17,34.79287265,31.07177579,-200.1092907
18,34.34964561,31.44452312,106.6260215
19,34.42873181,31.41452648,34.20709645
20,34.42480118,31.41587834,18.13631996
21,34.43491251,31.38392942,43.04807391
22,34.42040722,31.41267312,35.21164912
23,34.43491251,31.38392942,43.04807391
24,34.42040722,31.41267312,35.21164912
25,34.43491251,31.38392942,43.04807391
26,34.42040722,31.41267312,35.21164912
27,34.43491251,31.38392942,43.04807391
28,34.42040722,31.41267312,35.21164912
29,34.43491251,31.38392942,43.04807391
30,34.42040722,31.41267312,35.21164912
31,34.43491251,31.38392942,43.04807391
32,34.42040722,31.41267312,35.21164912
33,34.43491251,31.38392942,43.04807391
34,34.42040722,31.41267312,35.21164912
35,34.43491251,31.38392942,43.04807391
36,34.42435114,31.40708447,28.42176724
37,34.38207253,31.39370137,106.4492934
38,34.42292566,31.4116647,26.51540992
39,34.41909875,31.40929738,38.68149511
40,34.41317074,31.4170821,40.21750783
41,34.40628443,31.41747774,38.65613568
42,34.41906966,31.41154903,35.62935141
43,34.41314221,31.40562962,31.31503888
44,34.42701827,31.43722158,-0.924859133
45,34.41452618,31.42125175,28.86806065
46,34.42195432,31.41086417,35.84854653
47,34.42510065,31.4056066,34.21122667
48,34.41970163,31.41484221,36.61918265
49,34.41970163,31.41484221,36.61918265
50,34.41970163,31.41484221,36.61918265
51,34.3574666,31.30191196,178.5542174
52,34.42817157,31.42123939,-18.8398141
53,34.4169139,31.424387,28.91480079
54,34.4199462,31.41102746,48.48808071
55,34.42118604,31.41254295,25.23180387
56,34.35756529,31.51098978,135.9032665
57,34.42155537,31.41091,32.45576629
58,34.41129795,31.41194156,41.549243
59,34.42186298,31.41592639,27.67349362
60,34.41569801,31.41667654,40.4564332
61,34.41451761,31.41050408,50.83851696
62,34.42544989,31.39654612,48.47359454
63,34.43023304,31.39856464,28.46291903
64,34.43023304,31.39856464,28.46291903
65,34.33846344,31.56542044,53.2551406
66,34.43563347,31.41448866,38.62560502
67,34.42282961,31.41826232,28.83714386
68,34.42149891,31.4070891,33.28778337
69,34.41999592,31.45497732,6.420053903
70,34.41999592,31.45497732,6.420053903
71,34.41999592,31.45497732,6.420053903
72,34.41999592,31.45497732,6.420053903
73,34.41999592,31.45497732,6.420053903
74,34.41684938,31.41271096,44.67054069
75,34.41581318,31.38085038,52.1704691
76,34.41978965,31.4157826,31.66502039
77,34.41954138,31.41848591,34.32699997
78,34.39535691,31.44113792,54.42821574
79,34.43045568,31.41407151,23.87531242
80,34.43045568,31.41407151,23.87531242
81,34.43045568,31.41407151,23.87531242
82,34.41009638,31.41463454,47.73222062
83,34.48906366,31.25156434,185.4651986
84,34.41607524,31.41170528,51.3147061
85,34.43482992,31.4426454,5.97207545
86,34.42001662,31.39878753,41.81721239
87,34.44364369,31.40553434,-31.89519738
88,34.44364369,31.40553434,-31.89519738
89,34.40258165,31.44132113,46.67116812
90,34.45027827,31.48010006,-37.99651677
91,34.45027827,31.48010006,-37.99651677
92,34.44230956,31.40919258,10.89021429
93,34.413398,31.4082244,46.96612712
94,34.4244921,31.45694195,-0.460092044
95,34.41414932,31.40050547,43.15075159
96,34.4156097,31.3837671,42.57993152
97,34.43513493,31.39083111,26.43453355
98,34.4747017,31.40840186,-58.11555093
99,34.4747017,31.40840186,-58.11555093
100,34.4747017,31.40840186,-58.11555093
101,34.4747017,31.40840186,-58.11555093
102,34.4747017,31.40840186,-58.11555093
103,33.91703697,31.29674645,905.1161848
104,34.42279423,31.41815826,17.90701717
105,34.39873526,31.42236391,52.26496593
106,34.41335875,31.38741041,76.11377726
107,34.40949914,31.40664031,59.13877719
108,34.43070663,31.41789866,-62.18301162
109,34.41893632,31.41733206,34.99494297
110,34.42375256,31.40373972,37.17804659
111,34.42615823,31.3981296,37.68594396
